No,Scopus_Match_Key,Scopus_ISSN,Scopus_EISSN,Scopus_Title,Active or Inactive,Coverage,Titles Discontinued by Scopus,Source Type,"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1000 
General","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1400
Business, Management and Accounting","1500
Chemical Engineering","1600
Chemistry","1700
Computer Science","1800
Decision Sciences","1900
Earth and Planetary Sciences","2000
Economics, Econometrics and Finance","2100
Energy","2200
Engineering","2300
Environmental Science","2400
Immunology and Microbiology","2500
Materials Science","2600
Mathematics","2700
Medicine","2800
Neuroscience","2900
Nursing","3000
Pharmacology, Toxicology and Pharmaceutics","3100
Physics and Astronomy","3200
Psychology","3300
Social Sciences","3400
Veterinary","3500
Dentistry","3600
Health Professions"
16,0001-4788,0001-4788,2159-4260,Accounting and Business Research,Active,1970-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
17,0810-5391,0810-5391,1467-629X,Accounting and Finance,Active,1979-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1530-9320,,1530-9320,Accounting and the Public Interest,Active,2009-2025; 2005; 2003,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
20,0951-3574,0951-3574,2051-3151,"Accounting, Auditing and Accountability Journal",Active,1988-2025,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
21,0963-9284,0963-9284,1468-4489,Accounting Education,Active,2000-2026; 1998; 1992-1996,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0155-9982,0155-9982,1467-6303,Accounting Forum,Active,2004-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
24,0148-4184,0148-4184,2327-4468,Accounting Historians Journal,Active,1974-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
25,1032-3732,1032-3732,1749-3374,Accounting History,Active,1996-2026,,Journal,,Social Sciences,,,,,Arts and Humanities ,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
26,2155-2851,2155-2851,2155-286X,Accounting History Review,Active,2011-2025,,Journal,,Social Sciences,,,,,Arts and Humanities ,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
27,0888-7993,0888-7993,1558-7975,Accounting Horizons,Active,1996-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
28,1744-9480,1744-9480,1744-9499,Accounting in Europe,Active,2010-2026; 2008; 2006,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
29,1911-382X,1911-382X,1911-3838,Accounting Perspectives,Active,2007-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
30,1030-9616,1030-9616,1839-5465,Accounting Research Journal,Active,2005-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2152-2820,,2152-2820,"Accounting, Economics and Law: A Convivium",Active,2011-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
33,accounting finance and governance review,2009-8766,2737-7482,"Accounting, Finance and Governance Review",Active,2022-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
34,0361-3682,0361-3682,,"Accounting, Organizations and Society",Active,1976-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,Decision Sciences ,,,,,,,,,,,,,,,Social Sciences ,,,
35,1046-8188,1046-8188,1558-2868,ACM Transactions on Information Systems,Active,1983-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,Computer Science ,,,,,,,,,,,,,,,,,,,
36,1049-3301,1049-3301,1558-1195,ACM Transactions on Modeling and Computer Simulation,Active,1991-2026,,Journal,,,Physical Sciences,,,,,,,,,Computer Science ,,,,,,,,,Mathematics ,,,,,,,,,,
37,0001-6373,0001-6373,1588-2659,Acta Oeconomica,Active,2002-2026; 1995-2000,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
38,0001-6918,0001-6918,1873-6297,Acta Psychologica,Active,1953-2026; 1949-1951; 1941; 1939; 1936-1937,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,Psychology ,,,,
39,0353-4316,0353-4316,1848-6061,Acta Turistica,Active,2018-2025,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1476-7333,1476-7333,1476-7341,Action Learning: Research and Practice,Active,2010-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
43,1469-7874,1469-7874,1741-2625,Active Learning in Higher Education,Active,2000-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0065-1915,0065-1915,,Adelaide Law Review,Active,2019-2025,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
46,0095-3997,0095-3997,1552-3039,Administration and Society,Active,1969-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
47,0001-8392,0001-8392,1930-3815,Administrative Science Quarterly,Active,1996-2026; 1993-1994; 1989-1991; 1975-1987,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
48,2076-3387,,2076-3387,Administrative Sciences,Active,2011-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
49,1084-1806,1084-1806,1949-0461,Administrative Theory and Praxis,Active,2015-2026; 2010-2011; 1999-2001,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0882-6110,0882-6110,1046-5715,Advances in Accounting,Active,2005-2026; 2000-2003,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
52,1475-1488,1475-1488,2977-2494,Advances in Accounting Behavioral Research,Active,2008-2026; 2000-2006,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,Decision Sciences ,,,,,,,,,,,,,,,,,,
53,1085-4622,1085-4622,2977-2486,Advances in Accounting Education: Teaching and Curriculum Innovations,Active,2019-2025; 2007-2017,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
54,0001-8678,0001-8678,1475-6064,Advances in Applied Probability,Active,1990-2026; 1983-1988; 1980; 1973-1976; 1969-1971,,Journal,,,Physical Sciences,,,,,,,,,,,,,,,,,,Mathematics ,,,,,,,,,,
55,0098-9258,0098-9258,,Advances in Consumer Research,Inactive,2019-2023; 2016-2017; 2006-2012; 1993-1994,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,Psychology ,,,,
56,1523-4223,1523-4223,1552-3055,Advances in Developing Human Resources,Active,1999-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
57,1479-3598,1479-3598,2977-2435,Advances in Environmental Accounting and Management,Active,2024-2026; 2022; 2017-2020; 2014; 2009; 2006; 2003; 2000,,Book Series,,Social Sciences,Physical Sciences,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,Environmental Science ,,,,,,,,,,,,,
58,0065-2601,0065-2601,,Advances in Experimental Social Psychology,Active,1994-2026; 1986-1992; 1974-1984; 1972; 1969-1970; 1964-1967,,Book Series,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,,,,
59,1745-3542,1745-3542,1745-3550,Advances in Hospitality and Leisure,Active,2023-2026; 2021; 2006-2019; 2004,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
60,1571-5027,1571-5027,2977-456X,Advances in International Management,Active,2025-2026; 2007-2017; 2003-2005,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
61,1474-7979,1474-7979,2977-2400,Advances in International Marketing,Active,2025-2026; 2015; 2011-2013; 2006-2009; 2000-2004,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
62,1474-7871,1474-7871,2977-2397,Advances in Management Accounting,Active,2023-2026; 2010-2021; 2003-2008,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
63,1041-7060,1041-7060,2977-4624,Advances in Public Interest Accounting,Active,2025-2026; 2019-2020; 2013-2017; 2009-2010; 2004-2007; 2001-2002,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
64,0742-3322,0742-3322,2977-2370,Advances in Strategic Management,Active,2025-2026; 2023; 2020; 2000-2018,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
65,1058-7497,1058-7497,2985-7554,Advances in Taxation,Active,2023-2026; 2014-2021; 2012; 2010; 2008; 2006; 2000-2004,,Book Series,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0850-3907,0850-3907,,Africa Development/Afrique et Developpement,Active,2007-2024; 1994-1995; 1990; 1981-1986; 1978-1979,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
69,1017-6772,1017-6772,1467-8268,African Development Review,Active,1989-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
70,0145-2258,0145-2258,2163-9108,African Economic History,Active,1999-2025; 1981; 1976,,Journal,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1993-3738,1993-3738,,African Journal of Agricultural and Resource Economics,Active,2018-2025,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
73,1750-4554,1750-4554,1750-4562,African Journal of Business and Economic Research,Active,2006-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
74,2040-0705,2040-0705,2040-0713,African Journal of Economic and Management Studies,Active,2010-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0002-0397,0002-0397,1868-6869,Africa Spectrum,Active,2006-2026; 1983-1984,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
78,1751-6447,1751-6447,1751-6455,Afro-Asian Journal of Finance and Accounting,Active,2008-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
79,1522-936X,,1522-936X,AgBioForum,Inactive,1998-2025,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,"Biochemistry, Genetics and Molecular Biology ",,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0742-4477,0742-4477,1520-6297,Agribusiness,Active,1985-2026,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
82,1068-2805,1068-2805,2372-2614,Agricultural and Resource Economics Review,Active,2004-2026; 1997,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
83,0169-5150,0169-5150,1574-0862,Agricultural Economics (United Kingdom),Active,1986-2026,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1109-2580,1109-2580,,Agricultural Economics Review,Active,2011-2026,,Journal,Life Sciences,,,,,Agricultural and Biological Sciences ,,,,,,,,,,,,,,,,,,,,,,,,,
87,0002-1466,0002-1466,2041-6326,Agricultural Finance Review,Active,2000-2026; 1980,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
88,0889-048X,0889-048X,1572-8366,Agriculture and Human Values,Active,1984-2026,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0927-3379,0927-3379,1875-8339,Air and Space Law,Active,2018-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1944-3900,,1944-3900,AIS Transactions on Human-Computer Interaction,Active,2020-2025; 2015-2017; 2010-2011,,Journal,,,Physical Sciences,,,,,,,,,Computer Science ,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0002-4821,0002-4821,,Alberta law review,Inactive,2000-2003; 1998; 1996; 1987; 1978-1979; 1974,,Journal,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,,,,
95,2158-5571,2158-5571,2157-6203,Algorithmic Finance,Inactive,2011-2023,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,Computer Science ,,,"Economics, Econometrics and Finance ",,,,,,Mathematics ,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1037-969X,1037-969X,2398-9084,Alternative Law Journal,Active,2002-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
99,0304-3754,0304-3754,2163-3150,Alternatives,Active,1975-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0027-9048,0027-9048,,American Bankruptcy Law Journal,Inactive,2014-2019; 1996-2011,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
102,0002-7642,0002-7642,1552-3381,American Behavioral Scientist,Active,1957-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,Social Sciences ,,,
103,0002-7766,0002-7766,1744-1714,American Business Law Journal,Active,1963-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
104,american business review,,2689-8810,American Business Review,Active,2020-2025,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
105,1945-7782,1945-7782,1945-7790,American Economic Journal: Applied Economics,Active,2009-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
106,1945-7731,1945-7731,1945-774X,American Economic Journal: Economic Policy,Active,2009-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
107,1945-7707,1945-7707,1945-7715,American Economic Journal: Macroeconomics,Active,2009-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
108,1945-7669,1945-7669,1945-7685,American Economic Journal: Microeconomics,Active,2009-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0569-4345,0569-4345,2328-1235,American Economist,Active,1960-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0002-9092,0002-9092,1467-8276,American Journal of Agricultural Economics,Active,1919-2026,,Journal,Life Sciences,Social Sciences,,,,Agricultural and Biological Sciences ,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0002-919X,0002-919X,2326-9197,American Journal of Comparative Law,Active,1995-2026; 1992; 1990; 1985-1988; 1977-1978; 1974; 1963,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
115,0002-9246,0002-9246,1536-7150,American Journal of Economics and Sociology,Active,1978-2026; 1968-1976; 1941-1966,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
116,1098-2140,1098-2140,1557-0878,American Journal of Evaluation,Active,1981-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,Psychology ,Social Sciences ,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2332-3493,2332-3493,2332-3507,American Journal of Health Economics,Active,2015-2026,,Journal,,Social Sciences,,Health Sciences,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,Medicine ,,,,,,,,,
119,0092-5853,0092-5853,1540-5907,American Journal of Political Science,Active,1996-2026; 1986; 1982,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
120,0090-0036,0090-0036,1541-0048,American Journal of Public Health,Active,1971-2026; 1949-1963; 1926-1927; 1916,,Journal,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0002-9602,0002-9602,1537-5390,American Journal of Sociology,Active,1964-2026; 1946-1950,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
123,1465-7252,1465-7252,1465-7260,American Law and Economics Review,Inactive,2005-2023; 2001-2002,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
124,0003-0554,0003-0554,1537-5943,American Political Science Review,Active,1906-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
125,0003-066X,0003-066X,1935-990X,American Psychologist,Active,1965-2026; 1946-1954,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0275-0740,0275-0740,1552-3357,American Review of Public Administration,Active,1987-2026; 1967-1983,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,Social Sciences ,,,
128,0003-1224,0003-1224,1939-8271,American Sociological Review,Active,1965-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
129,1869-814X,1869-814X,1869-8182,AMS Review,Active,2011-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,2213-6657,2213-6657,,Analytic Methods in Accident Research,Active,2014-2026,,Journal,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
132,1303-2917,1303-2917,2156-6909,Anatolia,Active,1998-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,,Earth and Planetary Sciences ,,,,,,,,,,,,,,Social Sciences ,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1748-4995,1748-4995,1748-5002,Annals of Actuarial Science,Active,2010-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,"Economics, Econometrics and Finance ",,,,,,Mathematics ,,,,,,,,,,
135,1050-5164,1050-5164,,Annals of Applied Probability,Active,1996-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,,,,,,,Mathematics ,,,,,,,,,,
136,1932-6157,1932-6157,1941-7330,Annals of Applied Statistics,Active,2007-2026,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,,,,,,,Mathematics ,,,,,,,,,,
137,1529-7373,1529-7373,,Annals of Economics and Finance,Active,2000-2025,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
138,1614-2446,1614-2446,1614-2454,Annals of Finance,Active,2005-2026,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
139,1174-5398,1174-5398,2159-6816,Annals of Leisure Research,Active,2008-2026,,Journal,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,,,,,,,,,,,,,Psychology ,Social Sciences ,,,
140,0254-5330,0254-5330,1572-9338,Annals of Operations Research,Active,1984-2026,,Journal,,Social Sciences,,,,,,,,,,,Decision Sciences ,,,,,,,,,,,,,,,,,,
141,0091-1798,0091-1798,2168-894X,Annals of Probability,Active,1996-2026; 1981,,Journal,,Social Sciences,Physical Sciences,,,,,,,,,,Decision Sciences ,,,,,,,,Mathematics ,,,,,,,,,,
142,1370-4788,1370-4788,1467-8292,Annals of Public and Cooperative Economics,Active,1948-2026; 1925-1942,,Journal,,Social Sciences,,,,,,,,,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
