id,scimago_match_key,scimago_issn,scimago_eissn,Scimago_Title,SJR Best Quartile,Scimago_Categories,Scimago_Areas
46,0095-3997,0095-3997,1552-3039,Administration and Society,Q1,Public Administration (Q1); Sociology and Political Science (Q1); Marketing (Q2),"Business, Management and Accounting; Social Sciences"
47,0001-8392,0001-8392,1930-3815,Administrative Science Quarterly,Q1,Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1),Arts and Humanities; Social Sciences
48,2076-3387,2076-3387,,Administrative Sciences,Q2,"Business, Management and Accounting (miscellaneous) (Q2)","Business, Management and Accounting"
49,1084-1806,1949-0461,1084-1806,Administrative Theory and Praxis,Q2,Sociology and Political Science (Q2); Business and International Management (Q3); Public Administration (Q3); Strategy and Management (Q3),"Business, Management and Accounting; Social Sciences"
50,,,,,,,
51,0882-6110,1046-5715,0882-6110,Advances in Accounting,Q2,Finance (Q2); Accounting (Q3),"Business, Management and Accounting; Economics, Econometrics and Finance"
52,1475-1488,1475-1488,,Advances in Accounting Behavioral Research,-,Accounting; Management Science and Operations Research,"Business, Management and Accounting; Decision Sciences"
53,1085-4622,1085-4622,,Advances in Accounting Education: Teaching and Curriculum Innovations,Q4,Business and International Management (Q4); Education (Q4),"Business, Management and Accounting; Social Sciences"
54,0001-8678,0001-8678,1475-6064,Advances in Applied Probability,Q2,Applied Mathematics (Q2); Statistics and Probability (Q2),Mathematics
55,0098-9258,0098-9258,,Advances in Consumer Research,Q4,Applied Psychology (Q4); Economics and Econometrics (Q4); Marketing (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance; Psychology"
56,1523-4223,1552-3055,1523-4223,Advances in Developing Human Resources,Q2,Organizational Behavior and Human Resource Management (Q2),"Business, Management and Accounting"
57,1479-3598,1479-3598,,Advances in Environmental Accounting and Management,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3); Management, Monitoring, Policy and Law (Q3)","Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
58,0065-2601,0065-2601,,Advances in Experimental Social Psychology,-,Social Psychology,Psychology
59,1745-3542,1745-3542,,Advances in Hospitality and Leisure,Q4,"Geography, Planning and Development (Q4); Tourism, Leisure and Hospitality Management (Q4)","Business, Management and Accounting; Social Sciences"
60,1571-5027,1571-5027,,Advances in International Management,-,Business and International Management,"Business, Management and Accounting"
61,1474-7979,1474-7979,,Advances in International Marketing,-,Business and International Management; Marketing,"Business, Management and Accounting"
62,1474-7871,1474-7871,,Advances in Management Accounting,-,"Accounting; Business, Management and Accounting (miscellaneous)","Business, Management and Accounting"
63,1041-7060,1041-7060,,Advances in Public Interest Accounting,-,Accounting; Sociology and Political Science,"Business, Management and Accounting; Social Sciences"
64,0742-3322,0742-3322,,Advances in Strategic Management,-,"Economics, Econometrics and Finance (miscellaneous); Strategy and Management","Business, Management and Accounting; Economics, Econometrics and Finance"
65,1058-7497,1058-7497,,Advances in Taxation,-,"Business, Management and Accounting (miscellaneous); Finance","Business, Management and Accounting; Economics, Econometrics and Finance"
66,,,,,,,
67,,,,,,,
