id,scimago_match_key,scimago_issn,scimago_eissn,Scimago_Title,SJR Best Quartile,Scimago_Categories,Scimago_Areas
811,,,,,,,
812,0740-624X,0740-624X,,Government Information Quarterly,Q1,E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1),Social Sciences
813,1038-3441,1839-4205,1038-3441,Griffith Law Review,Q2,Law (Q2),Social Sciences
814,1059-6011,1552-3993,1059-6011,Group and Organization Management,Q1,Applied Psychology (Q1); Arts and Humanities (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1),"Arts and Humanities; Business, Management and Accounting; Psychology"
815,0926-2644,0926-2644,1572-9907,Group Decision and Negotiation,Q1,Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2),"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Social Sciences"
816,1089-2699,1089-2699,1930-7802,Group Dynamics,Q2,Social Psychology (Q2); Applied Psychology (Q3),Psychology
817,1368-4302,1461-7188,1368-4302,Group Processes and Intergroup Relations,Q1,Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Social Psychology (Q1); Sociology and Political Science (Q1),Arts and Humanities; Psychology; Social Sciences
818,0017-4815,1468-2257,0017-4815,Growth and Change,Q3,Global and Planetary Change (Q3),Environmental Science
819,0197-3975,0197-3975,,Habitat International,Q1,Nature and Landscape Conservation (Q1); Urban Studies (Q1),Environmental Science; Social Sciences
820,0017-8012,0017-8012,,Harvard Business Review,Q3,"Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Management of Technology and Innovation (Q3); Medicine (miscellaneous) (Q3); Strategy and Management (Q3)","Business, Management and Accounting; Economics, Econometrics and Finance; Medicine"
821,0147-8257,0147-8257,,Harvard Environmental Law Review,Q2,"Law (Q2); Environmental Science (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3)",Environmental Science; Social Sciences
822,0017-8063,0017-8063,,Harvard International Law Journal,Q1,Law (Q1); Political Science and International Relations (Q1),Social Sciences
823,0193-4872,0193-4872,,Harvard Journal of Law and Public Policy,Q2,Law (Q2); Sociology and Political Science (Q2),Social Sciences
824,,,,,,,
825,0017-811X,0017-811X,,Harvard Law Review,Q1,Law (Q1),Social Sciences
826,,,,,,,
827,0361-6274,1550-5030,0361-6274,Health Care Management Review,Q1,Leadership and Management (Q1); Health Policy (Q2); Strategy and Management (Q2),"Business, Management and Accounting; Medicine; Nursing"
828,1386-9620,1386-9620,1572-9389,Health Care Management Science,Q1,Health Professions (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),Health Professions; Medicine
829,1041-0236,1041-0236,1532-7027,Health Communication,Q1,Communication (Q1); Health (social science) (Q1),Social Sciences
830,1057-9230,1057-9230,1099-1050,Health Economics (United Kingdom),Q1,Health Policy (Q1),Medicine
831,2191-1991,2191-1991,,Health Economics Review,Q1,Health Policy (Q1),Medicine
832,1744-1331,1744-1331,1744-134X,"Health Economics, Policy and Law",Q2,Health Policy (Q2),Medicine
833,1460-4582,1460-4582,1741-2811,Health Informatics Journal,Q3,Health Informatics (Q3),Medicine
834,0735-9683,1545-0864,0735-9683,Health Marketing Quarterly,Q2,Health Professions (miscellaneous) (Q2); Marketing (Q3),"Business, Management and Accounting; Health Professions"
835,0168-8510,1872-6054,0168-8510,Health Policy,Q1,Health Policy (Q1),Medicine
836,0957-4824,0957-4824,1460-2245,Health Promotion International,Q1,"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)",Medicine; Social Sciences
837,0951-4848,1758-1044,0951-4848,Health Services Management Research,Q2,Health Policy (Q2),Medicine
838,0017-9124,1475-6773,0017-9124,Health Services Research,Q1,Health Policy (Q1),Medicine
839,2047-6965,2047-6973,2047-6965,Health Systems,Q2,Information Systems (Q2); Computer Science Applications (Q3); Health Informatics (Q3); Health Information Management (Q3); Health Policy (Q3); Human-Computer Interaction (Q3); Management Science and Operations Research (Q3),Computer Science; Decision Sciences; Health Professions; Medicine
840,0951-5224,0951-5224,1468-2273,Higher Education Quarterly,Q1,Education (Q1),Social Sciences
841,2042-3896,2042-390X,2042-3896,"Higher Education, Skills and Work-based Learning",Q2,Education (Q2); Life-span and Life-course Studies (Q3),Social Sciences
842,1465-4466,1465-4466,1569-206X,Historical Materialism,Q1,"History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)","Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
843,1362-1572,2049-4459,1362-1572,Historical Studies in Industrial Relations,Q2,History (Q2); Economics and Econometrics (Q4); Political Science and International Relations (Q4),"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
844,1122-8792,1122-8792,1724-2169,History of Economic Ideas,Q3,History (Q3); Economics and Econometrics (Q4); Sociology and Political Science (Q4),"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
845,2240-9971,2240-9971,2280-188X,History of Economic Thought and Policy,Q3,History (Q3); Economics and Econometrics (Q4); Public Administration (Q4),"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
846,1037-0196,1037-0196,1838-6318,History of Economics Review,Q4,Economics and Econometrics (Q4),"Economics, Econometrics and Finance"
847,0018-2702,1527-1919,0018-2702,History of Political Economy,Q1,History (Q1); Economics and Econometrics (Q2),"Arts and Humanities; Economics, Econometrics and Finance"
848,hitotsubashi journal of economics,2436-097X,,Hitotsubashi Journal of Economics,Q4,"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4)","Business, Management and Accounting; Economics, Econometrics and Finance"
849,,,,,,,
850,,,,,,,
851,2042-7913,2042-7921,2042-7913,Hospitality and Society,Q3,"Social Sciences (miscellaneous) (Q3); Tourism, Leisure and Hospitality Management (Q4)","Business, Management and Accounting; Social Sciences"
852,1051-1482,1051-1482,2152-050X,Housing Policy Debate,Q1,"Development (Q1); Urban Studies (Q1); Management, Monitoring, Policy and Law (Q2)",Environmental Science; Social Sciences
853,0267-3037,1466-1810,0267-3037,Housing Studies,Q1,Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Urban Studies (Q1),Environmental Science; Social Sciences
854,,,,,,,
855,0895-9285,0895-9285,1532-7043,Human Performance,Q2,Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2); Psychology (miscellaneous) (Q2),"Business, Management and Accounting; Psychology"
856,0018-7267,0018-7267,1741-282X,Human Relations,Q1,Arts and Humanities (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1),"Arts and Humanities; Business, Management and Accounting; Social Sciences"
857,1367-8868,1367-8868,1469-8374,Human Resource Development International,Q1,Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting"
858,1044-8004,1532-1096,1044-8004,Human Resource Development Quarterly,Q1,Arts and Humanities (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1),"Arts and Humanities; Business, Management and Accounting"
859,1534-4843,1552-6712,1534-4843,Human Resource Development Review,Q1,Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting"
860,0090-4848,0090-4848,1099-050X,Human Resource Management,Q1,Applied Psychology (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting; Psychology"
861,0967-0734,0967-0734,,Human Resource Management International Digest,Q4,Organizational Behavior and Human Resource Management (Q4),"Business, Management and Accounting"
862,0954-5395,1748-8583,0954-5395,Human Resource Management Journal,Q1,Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting"
863,1053-4822,1053-4822,,Human Resource Management Review,Q1,Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting; Psychology"
864,0167-2533,0167-2533,,Human Systems Management,Q3,"Business, Management and Accounting (miscellaneous) (Q3)","Business, Management and Accounting"
865,0737-0024,1532-7051,0737-0024,Human-Computer Interaction,Q2,Applied Psychology (Q2); Human-Computer Interaction (Q2),Computer Science; Psychology
866,0386-1112,0386-1112,,IATSS Research,Q1,Engineering (miscellaneous) (Q1); Safety Research (Q1); Urban Studies (Q1); Transportation (Q2),Engineering; Social Sciences
867,2049-1999,0258-3690,2049-1999,ICSID Review,Q1,Law (Q1); Finance (Q2),"Economics, Econometrics and Finance; Social Sciences"
868,1558-0040,0018-9391,1558-0040,IEEE Transactions on Engineering Management,Q1,Electrical and Electronic Engineering (Q1); Strategy and Management (Q1),"Business, Management and Accounting; Engineering"
869,1524-9050,1558-0016,1524-9050,IEEE Transactions on Intelligent Transportation Systems,Q1,Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1),Computer Science; Engineering
870,0361-1434,1558-1500,0361-1434,IEEE Transactions on Professional Communication,Q1,Linguistics and Language (Q1); Electrical and Electronic Engineering (Q2); Industrial Relations (Q2),"Business, Management and Accounting; Engineering; Social Sciences"
871,0018-9855,0018-9855,2195-0237,IIC International Review of Intellectual Property and Competition Law,Q1,Law (Q1); Political Science and International Relations (Q1),Social Sciences
872,2321-029X,2321-029X,2277-9752,IIM Kozhikode Society and Management Review,Q2,Education (Q2),Social Sciences
873,0970-3896,0970-3896,,IIMB Management Review,Q2,"Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q3)","Business, Management and Accounting; Economics, Econometrics and Finance"
874,iise transactions,2472-5862,2472-5854,IISE Transactions,Q1,Industrial and Manufacturing Engineering (Q1),Engineering
875,0019-7939,0019-7939,2162-271X,ILR Review,Q1,Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting"
876,,,,,,,
877,2041-4161,2041-417X,2041-4161,IMF Economic Review,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance"
878,1461-5517,1461-5517,1471-5465,Impact Assessment and Project Appraisal,Q2,"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2)",Environmental Science; Social Sciences
879,0019-4662,2631-617X,0019-4662,Indian Economic Journal,Q3,"Economics, Econometrics and Finance (miscellaneous) (Q3); Economics and Econometrics (Q4)","Economics, Econometrics and Finance"
880,0019-4670,0019-4670,2520-1778,Indian Economic Review,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2); Economics and Econometrics (Q3)","Economics, Econometrics and Finance"
881,1753-8254,1753-8254,1753-8262,Indian Growth and Development Review,Q3,"Business and International Management (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3)","Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
882,0974-6862,0974-6862,2454-2482,Indian Journal of Corporate Governance,Q3,"Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Strategy and Management (Q3)","Business, Management and Accounting"
883,,,,,,,
884,0971-5215,0971-5215,0973-0672,Indian Journal of Gender Studies,Q2,Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Gender Studies (Q3); Health (social science) (Q4),Arts and Humanities; Social Sciences
885,,,,,,,
886,0019-5308,0019-5308,,Indian Journal of Labour Economics,Q3,Economics and Econometrics (Q3),"Economics, Econometrics and Finance"
887,0973-8703,0973-8703,,Indian Journal of Marketing,Q3,Marketing (Q3),"Business, Management and Accounting"
888,,,,,,,
889,,,,,,,
890,0960-6491,1464-3650,0960-6491,Industrial and Corporate Change,Q1,Economics and Econometrics (Q1); Management of Technology and Innovation (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance"
891,1754-9426,1754-9426,1754-9434,Industrial and Organizational Psychology,Q2,Applied Psychology (Q2); Social Psychology (Q2),Psychology
892,0305-9332,0305-9332,1464-3669,Industrial Law Journal,Q1,Law (Q1),Social Sciences
893,0263-5577,0263-5577,,Industrial Management and Data Systems,Q1,Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Industrial Relations (Q1); Management Information Systems (Q1); Strategy and Management (Q1),"Business, Management and Accounting; Computer Science; Engineering"
894,0019-8501,0019-8501,,Industrial Marketing Management,Q1,Marketing (Q1),"Business, Management and Accounting"
895,0019-8692,1468-2338,0019-8692,Industrial Relations Journal,Q2,Industrial Relations (Q2),"Business, Management and Accounting"
896,0019-8676,0019-8676,1468-232X,Industrial Relations,Q1,Industrial Relations (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting"
897,0950-4222,2043-6858,0950-4222,Industry and Higher Education,Q1,Education (Q1); Business and International Management (Q2),"Business, Management and Accounting; Social Sciences"
898,1366-2716,1366-2716,1469-8390,Industry and Innovation,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1)","Business, Management and Accounting"
899,0315-5986,0315-5986,1916-0615,INFOR,Q3,Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Signal Processing (Q3),Computer Science; Decision Sciences
900,1753-8157,1753-8157,1753-8165,Informatics for Health and Social Care,Q1,Nursing (miscellaneous) (Q1); Health Informatics (Q2); Health Information Management (Q2),Health Professions; Medicine; Nursing
901,0378-7206,0378-7206,,Information and Management,Q1,Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1),"Business, Management and Accounting; Computer Science; Decision Sciences"
902,1360-0834,1360-0834,1469-8404,Information and Communications Technology Law,Q1,Law (Q1); Communication (Q2); Computer Science Applications (Q2),Computer Science; Social Sciences
903,0890-5401,1090-2651,0890-5401,Information and Computation,Q2,Computational Theory and Mathematics (Q2); Information Systems (Q2); Computer Science Applications (Q3); Theoretical Computer Science (Q3),Computer Science; Mathematics
904,2056-4961,2056-497X,2056-4961,Information and Computer Security,Q2,Computer Networks and Communications (Q2); Information Systems (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Software (Q2),"Business, Management and Accounting; Computer Science; Decision Sciences"
905,1471-7727,1471-7727,,Information and Organization,Q1,Information Systems (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting; Computer Science; Social Sciences"
906,2398-6247,2398-6247,,Information Discovery and Delivery,Q1,Library and Information Sciences (Q1); Computer Science (miscellaneous) (Q2),Computer Science; Social Sciences
907,0167-6245,0167-6245,,Information Economics and Policy,Q1,"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)","Economics, Econometrics and Finance; Environmental Science"
908,1570-1255,1875-8754,1570-1255,Information Polity,Q2,"Communication (Q2); Geography, Planning and Development (Q2); Information Systems (Q2); Public Administration (Q2); Sociology and Political Science (Q2)",Computer Science; Social Sciences
909,1040-1628,1533-7979,1040-1628,Information Resources Management Journal,Q3,Library and Information Sciences (Q3); Business and International Management (Q4); Strategy and Management (Q4),"Business, Management and Accounting; Social Sciences"
910,1617-9846,1617-9846,1617-9854,Information Systems and e-Business Management,Q2,Information Systems (Q2),Computer Science
911,1387-3326,1572-9419,1387-3326,Information Systems Frontiers,Q1,Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1); Theoretical Computer Science (Q1),Computer Science; Mathematics
912,1350-1917,1350-1917,1365-2575,Information Systems Journal,Q1,Computer Networks and Communications (Q1); Information Systems (Q1); Software (Q1),Computer Science
913,1058-0530,1058-0530,,Information Systems Management,Q1,Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1),Computer Science; Social Sciences
914,1047-7047,1526-5536,1047-7047,Information Systems Research,Q1,Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1),"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
915,0959-3845,0959-3845,,Information Technology and People,Q1,Computer Science Applications (Q1); Information Systems (Q1); Library and Information Sciences (Q1),Computer Science; Social Sciences
916,1098-3058,1098-3058,1943-4294,Information Technology and Tourism,Q1,"Computer Science Applications (Q1); Information Systems (Q1); Tourism, Leisure and Hospitality Management (Q1)","Business, Management and Accounting; Computer Science"
917,1385-951X,1385-951X,1573-7667,Information Technology and Management,Q1,"Communication (Q1); Business, Management and Accounting (miscellaneous) (Q2); Information Systems (Q2)","Business, Management and Accounting; Computer Science; Social Sciences"
918,0268-1102,1554-0170,0268-1102,Information Technology for Development,Q1,Computer Science Applications (Q1); Development (Q1); E-learning (Q1); Public Administration (Q1),Computer Science; Social Sciences
919,1369-118X,1468-4462,1369-118X,Information Communication and Society,Q1,Communication (Q1); Library and Information Sciences (Q1),Social Sciences
920,informs journal on applied analytics,2644-0865,2644-0873,INFORMS Journal on Applied Analytics,Q2,Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2),"Business, Management and Accounting; Decision Sciences"
921,1091-9856,1091-9856,1526-5528,INFORMS Journal on Computing,Q1,Computer Science Applications (Q1); Information Systems (Q1); Management Science and Operations Research (Q1); Software (Q1),Computer Science; Decision Sciences
922,1532-0545,1532-0545,,INFORMS Transactions on Education,Q2,Education (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3),"Business, Management and Accounting; Decision Sciences; Social Sciences"
923,2949-7531,2949-7531,,Innovation and Green Development,Q1,"Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Renewable Energy, Sustainability and the Environment (Q1)","Business, Management and Accounting; Decision Sciences; Energy"
924,,,,,,,
925,1447-9338,1447-9338,,Innovation: Organization and Management,Q1,Management of Technology and Innovation (Q1),"Business, Management and Accounting"
926,1351-1610,1351-1610,1469-8412,Innovation: The European Journal of Social Science Research,Q1,"Cultural Studies (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Geography, Planning and Development (Q2); Management of Technology and Innovation (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)","Business, Management and Accounting; Social Sciences"
927,,,,,,,
928,,,,,,,
929,,,,,,,
930,,,,,,,
931,0167-6687,0167-6687,,Insurance: Mathematics and Economics,Q1,"Economics and Econometrics (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)","Decision Sciences; Economics, Econometrics and Finance; Mathematics"
932,,,,,,,
933,,,,,,,
934,,,,,,,
935,,,,,,,
936,0953-5438,1873-7951,0953-5438,Interacting with Computers,Q2,Library and Information Sciences (Q2); Human-Computer Interaction (Q3); Software (Q3),Computer Science; Social Sciences
937,,,,,,,
938,2981-0795,2981-0795,,Interdisciplinary Journal of Management Studies,Q4,"Business and International Management (Q4); Business, Management and Accounting (miscellaneous) (Q4); Marketing (Q4); Strategy and Management (Q4)","Business, Management and Accounting"
939,0020-5346,1613-964X,0020-5346,Intereconomics,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance"
940,0020-5893,0020-5893,1471-6895,International and Comparative Law Quarterly,Q1,Law (Q1); Political Science and International Relations (Q1),Social Sciences
941,1083-0898,1573-966X,1083-0898,International Advances in Economic Research,Q3,"Economics, Econometrics and Finance (miscellaneous) (Q3); Economics and Econometrics (Q4)","Economics, Econometrics and Finance"
942,0020-5850,1468-2346,0020-5850,International Affairs,Q1,Political Science and International Relations (Q1); Sociology and Political Science (Q1),Social Sciences
943,,,,,,,
944,0969-5931,0969-5931,,International Business Review,Q1,Business and International Management (Q1); Finance (Q1); Marketing (Q1); Strategy and Management (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance"
945,,,,,,,
946,2044-4001,2044-3994,2044-4001,International Data Privacy Law,Q1,Law (Q1),Social Sciences
947,1474-6743,1478-3401,1474-6743,International Development Planning Review,Q2,"Development (Q2); Geography, Planning and Development (Q2)",Social Sciences
948,1016-8737,1743-517X,1016-8737,International Economic Journal,Q2,"Economics, Econometrics and Finance (miscellaneous) (Q2)","Economics, Econometrics and Finance"
949,0020-6598,1468-2354,0020-6598,International Economic Review,Q1,Economics and Econometrics (Q1),"Economics, Econometrics and Finance"
950,1612-4804,1612-4804,1612-4812,International Economics and Economic Policy,Q3,Economics and Econometrics (Q3),"Economics, Econometrics and Finance"
951,1554-7191,1554-7191,1555-1938,International Entrepreneurship and Management Journal,Q1,Management Information Systems (Q1); Management of Technology and Innovation (Q2),"Business, Management and Accounting"
952,1567-9764,1567-9764,1573-1553,"International Environmental Agreements: Politics, Law and Economics",Q1,Economics and Econometrics (Q1); Law (Q1); Political Science and International Relations (Q1),"Economics, Econometrics and Finance; Social Sciences"
953,1367-0271,1367-0271,1468-2362,International Finance,Q2,"Geography, Planning and Development (Q2); Development (Q3); Finance (Q3)","Economics, Econometrics and Finance; Social Sciences"
954,1445-9795,1479-4276,1445-9795,International Gambling Studies,Q2,Applied Psychology (Q2),Psychology
955,0219-1989,0219-1989,1793-6675,International Game Theory Review,Q4,"Business and International Management (Q4); Computer Science (miscellaneous) (Q4); Statistics, Probability and Uncertainty (Q4)","Business, Management and Accounting; Computer Science; Decision Sciences"
956,,,,,,,
957,1180-0518,1099-1107,1180-0518,International Insolvency Review,Q4,Finance (Q4); Law (Q4),"Economics, Econometrics and Finance; Social Sciences"
958,,,,,,,
959,,,,,,,
960,,,,,,,
961,1834-7649,1758-9037,1834-7649,International Journal of Accounting and Information Management,Q1,"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance"
962,1467-0895,1467-0895,,International Journal of Accounting Information Systems,Q1,Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Management Information Systems (Q1),"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
963,1740-8008,1740-8008,1740-8016,"International Journal of Accounting, Auditing and Performance Evaluation",Q3,Accounting (Q3); Finance (Q3); Organizational Behavior and Human Resource Management (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance"
964,,,,,,,
965,0265-0487,1759-3948,0265-0487,International Journal of Advertising,Q1,Communication (Q1); Marketing (Q1),"Business, Management and Accounting; Social Sciences"
966,1462-4605,1462-4605,1741-5004,"International Journal of Agricultural Resources, Governance and Ecology",Q4,"Agronomy and Crop Science (Q4); Ecology (Q4); Management, Monitoring, Policy and Law (Q4)",Agricultural and Biological Sciences; Environmental Science
967,,,,,,,
968,,,,,,,
969,,,,,,,
970,,,,,,,
971,1480-8986,1480-8986,,International Journal of Arts Management,Q1,Visual Arts and Performing Arts (Q1); Business and International Management (Q3),"Arts and Humanities; Business, Management and Accounting"
972,1479-5914,1479-5914,1479-5922,International Journal of Asian Studies,Q2,Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q3),Arts and Humanities; Social Sciences
973,1090-6738,1099-1123,1090-6738,International Journal of Auditing,Q1,"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2)","Business, Management and Accounting; Economics, Econometrics and Finance"
974,1881-7629,1883-8022,1881-7629,International Journal of Automation Technology,Q2,Industrial and Manufacturing Engineering (Q2); Mechanical Engineering (Q3),Engineering
975,1229-9138,1229-9138,1976-3832,International Journal of Automotive Technology,Q2,Automotive Engineering (Q2),Engineering
976,0265-2323,0265-2323,,International Journal of Bank Marketing,Q1,Marketing (Q1),"Business, Management and Accounting"
977,1755-3830,1755-3830,1755-3849,"International Journal of Banking, Accounting and Finance",Q4,Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance"
978,,,,,,,
979,,,,,,,
980,1083-4346,1083-4346,,International Journal of Business,Q4,Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4); Strategy and Management (Q4),"Business, Management and Accounting; Economics, Econometrics and Finance"
981,,,,,,,
982,,,,,,,
983,1511-6670,1511-6670,,International Journal of Business and Society,Q3,Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3); Strategy and Management (Q3),"Business, Management and Accounting; Economics, Econometrics and Finance"
984,2329-4884,2329-4884,2329-4892,International Journal of Business Communication,Q1,"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance"
985,1746-0972,1746-0972,1746-0980,International Journal of Business Information Systems,Q3,Information Systems and Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q4),"Business, Management and Accounting; Decision Sciences"
986,1947-3591,1947-3605,1947-3591,International Journal of Business Intelligence Research,Q4,"Information Systems and Management (Q4); Management Information Systems (Q4); Statistics, Probability and Uncertainty (Q4)","Business, Management and Accounting; Decision Sciences"
987,,,,,,,
988,,,,,,,
989,1815-4654,1815-4654,1815-7556,International Journal of Central Banking,Q1,Economics and Econometrics (Q1); Finance (Q1),"Economics, Econometrics and Finance"
990,1757-1170,1757-1170,1757-1189,International Journal of Computational Economics and Econometrics,Q4,Computer Science Applications (Q4); Economics and Econometrics (Q4),"Computer Science; Economics, Econometrics and Finance"
991,1044-4068,1044-4068,,International Journal of Conflict Management,Q1,Communication (Q1); Management of Technology and Innovation (Q2); Strategy and Management (Q2),"Business, Management and Accounting; Social Sciences"
992,2331-2327,1562-3599,2331-2327,International Journal of Construction Management,Q1,Architecture (Q1); Building and Construction (Q1); Strategy and Management (Q1); Management of Technology and Innovation (Q2),"Business, Management and Accounting; Engineering"
993,1470-6423,1470-6423,1470-6431,International Journal of Consumer Studies,Q1,"Applied Psychology (Q1); Economics and Econometrics (Q1); Marketing (Q1); Public Health, Environmental and Occupational Health (Q1)","Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Psychology"
994,0959-6119,0959-6119,,International Journal of Contemporary Hospitality Management,Q1,"Tourism, Leisure and Hospitality Management (Q1)","Business, Management and Accounting"
995,,,,,,,
996,,,,,,,
997,1470-5958,1470-5958,1741-2838,International Journal of Cross Cultural Management,Q1,Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Business and International Management (Q2); Organizational Behavior and Human Resource Management (Q2),"Arts and Humanities; Business, Management and Accounting; Social Sciences"
998,1028-6632,1477-2833,1028-6632,International Journal of Cultural Policy,Q1,Cultural Studies (Q1); Sociology and Political Science (Q1),Social Sciences
999,1548-3924,1548-3924,1548-3932,International Journal of Data Warehousing and Mining,Q3,Hardware and Architecture (Q3); Software (Q4),Computer Science
1000,2010-2690,2010-2690,2010-2704,International Journal of Development and Conflict,Q3,"Development (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Political Science and International Relations (Q3)","Economics, Econometrics and Finance; Social Sciences"
1001,1446-8956,1446-8956,1758-8553,International Journal of Development Issues,Q2,Development (Q2); Economics and Econometrics (Q2); Political Science and International Relations (Q2),"Economics, Econometrics and Finance; Social Sciences"
1002,2212-4209,2212-4209,,International Journal of Disaster Risk Reduction,Q1,Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Safety Research (Q1),Earth and Planetary Sciences; Social Sciences
1003,1741-3591,1741-3591,1746-6539,International Journal of Disclosure and Governance,Q2,Accounting (Q2); Business and International Management (Q2); Economics and Econometrics (Q2); Finance (Q2); Strategy and Management (Q2),"Business, Management and Accounting; Economics, Econometrics and Finance"
1004,,,,,,,
1005,1752-0452,1752-0452,1752-0460,International Journal of Economic Policy in Emerging Economies,Q4,Economics and Econometrics (Q4),"Economics, Econometrics and Finance"
1006,,,,,,,
1007,1742-7355,1742-7355,1742-7363,International Journal of Economic Theory,Q3,Economics and Econometrics (Q3),"Economics, Econometrics and Finance"
1008,,,,,,,
1009,1756-9850,1756-9869,1756-9850,International Journal of Economics and Business Research,Q4,"Business, Management and Accounting (miscellaneous) (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4)","Business, Management and Accounting; Economics, Econometrics and Finance"
